CISP,MUNICIPIO,LOCAL DO REGISTRO,DATA DO FATO,FAIXA DE HORA DO FATO,DESCRICAO,IDADE,COR,RELACAO COM VITIMA,LOCAL DO FATO,LEI APLICADA
166 CISP,ANGRA DOS REIS,OUTRAS DELEGACIAS,4/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,25,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
128 CISP,RIO DAS OSTRAS,NUAM - RIO DAS OSTRAS,5/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,14,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
151 CISP,NOVA FRIBURGO,DEAM - NOVA FRIBURGO,5/11/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,28,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
107 CISP,PARAIBA DO SUL,OUTRAS DELEGACIAS,10/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,27,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,14/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,32,PRETA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,14/11/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,32,PRETA,EX-COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
110 CISP,TERESOPOLIS,NUAM - TERESOPOLIS,14/11/2018,MANHA - 06H AS 11H59,FEMINICIDIO,42,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
71 CISP,ITABORAI,OUTRAS DELEGACIAS,17/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,28,BRANCA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
90 CISP,BARRA MANSA,NUAM - BARRA MANSA,24/11/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,27,PARDA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
105 CISP,PETROPOLIS,OUTRAS DELEGACIAS,2/10/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,20,BRANCA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
146 CISP,CAMPOS DOS GOYTACAZES,NUAM - GUARUS,26/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO,23,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
146 CISP,CAMPOS DOS GOYTACAZES,DEAM - CAMPOS,27/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,20,PRETA,PARENTE,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
106 CISP,PETROPOLIS,OUTRAS DELEGACIAS,3/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO,53,BRANCA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
123 CISP,MACAE,OUTRAS DELEGACIAS,9/12/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,36,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
141 CISP,SAO FIDELIS,OUTRAS DELEGACIAS,7/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,22,BRANCA,COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
134 CISP,CAMPOS DOS GOYTACAZES,DEAM - CAMPOS,9/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,46,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
166 CISP,ANGRA DOS REIS,DEAM - ANGRA DOS REIS,16/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,17,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
126 CISP,CABO FRIO,DEAM - CABO FRIO,22/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,18,PARDA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
93 CISP,VOLTA REDONDA,DEAM - VOLTA REDONDA,18/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,22,PARDA,COMPANHEIRO,OUTROS LOCAIS,LEI 11.340/2006 (LEI MARIA DA PENHA)
108 CISP,TRES RIOS,NUAM - TRES RIOS,22/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,15,BRANCA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
136 CISP,SANTO ANTONIO DE PADUA,OUTRAS DELEGACIAS,25/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO,45,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
128 CISP,RIO DAS OSTRAS,NUAM - RIO DAS OSTRAS,29/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,28,PRETA,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)

