CISP,MUNICIPIO,LOCAL DO REGISTRO,DATA DO FATO,FAIXA DE HORA DO FATO,DESCRICAO,IDADE,COR,RELACAO COM VITIMA,LOCAL DO FATO,LEI APLICADA
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,8/10/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,29,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
66 CISP,MAGE,OUTRAS DELEGACIAS,14/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO,30,PARDA,NENHUMA,RESIDENCIA,SEM LEI ESPECIFICA
59 CISP,DUQUE DE CAXIAS,DEAM - DUQUE DE CAXIAS,24/11/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,45,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
64 CISP,SAO JOAO DE MERITI,DEAM - SAO JOAO DE MERITI,13/12/2018,TARDE - 12H AS 17H59,FEMINICIDIO,23,NAO INFORMADO,COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
58 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,20/12/2018,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,24,PARDA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
59 CISP,DUQUE DE CAXIAS,OUTRAS DELEGACIAS,21/12/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,24,PRETA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
56 CISP,NOVA IGUACU,OUTRAS DELEGACIAS,21/12/2018,NOITE - 18H AS 23H59,FEMINICIDIO - TENTATIVA,25,BRANCA,NENHUMA,OUTROS LOCAIS,SEM LEI ESPECIFICA
10 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,4/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
10 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,4/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PRETA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
10 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,4/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,35,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
37 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,26/11/2017,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,37,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
37 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,26/11/2017,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,9,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
37 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,26/11/2017,MADRUGADA - 00H AS 05H59,FEMINICIDIO - TENTATIVA,26,BRANCA,EX-COMPANHEIRO,RESIDENCIA,LEI 11.340/2006 (LEI MARIA DA PENHA)
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,16/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,37,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,16/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,54,BRANCA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
31 CISP,RIO DE JANEIRO,OUTRAS DELEGACIAS,16/01/2018,TARDE - 12H AS 17H59,FEMINICIDIO - TENTATIVA,NAO INFORMADO,PARDA,NENHUMA,VIA PUBLICA,SEM LEI ESPECIFICA
33 CISP,RIO DE JANEIRO,DEAM - CAMPO GRANDE,16/01/2018,MANHA - 06H AS 11H59,FEMINICIDIO - TENTATIVA,37,BRANCA,EX-COMPANHEIRO,VIA PUBLICA,LEI 11.340/2006 (LEI MARIA DA PENHA)
